station_id,state,station_name,latitude,longitude,html_url,rss_url,xml_url
CYYC,AB,Calgary International Airport,51.11667,-114.01667,https://forecast.weather.gov/data/obhistory/CYYC.html,https://forecast.weather.gov/xml/current_obs/CYYC.rss,https://forecast.weather.gov/xml/current_obs/CYYC.xml
CWVI,AB,Vegreville Automatic Weather Reporting System,53.61667,-112.03333,https://forecast.weather.gov/data/obhistory/CWVI.html,https://forecast.weather.gov/xml/current_obs/CWVI.rss,https://forecast.weather.gov/xml/current_obs/CWVI.xml
CWCT,AB,Coronation Automated Reporting Station,52.06667,-111.46667,https://forecast.weather.gov/data/obhistory/CWCT.html,https://forecast.weather.gov/xml/current_obs/CWCT.rss,https://forecast.weather.gov/xml/current_obs/CWCT.xml
CWGM,AB,Waterton Park Gate,49.13333,-113.8,https://forecast.weather.gov/data/obhistory/CWGM.html,https://forecast.weather.gov/xml/current_obs/CWGM.rss,https://forecast.weather.gov/xml/current_obs/CWGM.xml
CYEG,AB,Edmonton International Airport,53.3,-113.58333,https://forecast.weather.gov/data/obhistory/CYEG.html,https://forecast.weather.gov/xml/current_obs/CYEG.rss,https://forecast.weather.gov/xml/current_obs/CYEG.xml
CXEG,AB,"Edmonton International CS , Alta.",53.3,-113.6,https://forecast.weather.gov/data/obhistory/CXEG.html,https://forecast.weather.gov/xml/current_obs/CXEG.rss,https://forecast.weather.gov/xml/current_obs/CXEG.xml
CXEC,AB,"Edmonton Municipal CR10 , Alta.",53.56667,-113.51667,https://forecast.weather.gov/data/obhistory/CXEC.html,https://forecast.weather.gov/xml/current_obs/CXEC.rss,https://forecast.weather.gov/xml/current_obs/CXEC.xml
CZZJ,AB,EDSON CR10,53.58,-116.47,https://forecast.weather.gov/data/obhistory/CZZJ.html,https://forecast.weather.gov/xml/current_obs/CZZJ.rss,https://forecast.weather.gov/xml/current_obs/CZZJ.xml
CXMM,AB,"Fort McMurray CS, Alta.",56.65,-111.21667,https://forecast.weather.gov/data/obhistory/CXMM.html,https://forecast.weather.gov/xml/current_obs/CXMM.rss,https://forecast.weather.gov/xml/current_obs/CXMM.xml
CWRM,AB,Rocky House Marine Aviation Reporting Station,52.43333,-114.93333,https://forecast.weather.gov/data/obhistory/CWRM.html,https://forecast.weather.gov/xml/current_obs/CWRM.rss,https://forecast.weather.gov/xml/current_obs/CWRM.xml
CWJW,AB,Jasper Warden Automated Reporting Station,52.93333,-118.31667,https://forecast.weather.gov/data/obhistory/CWJW.html,https://forecast.weather.gov/xml/current_obs/CWJW.rss,https://forecast.weather.gov/xml/current_obs/CWJW.xml
CWAV,AB,Sundre,51.76667,-114.68333,https://forecast.weather.gov/data/obhistory/CWAV.html,https://forecast.weather.gov/xml/current_obs/CWAV.rss,https://forecast.weather.gov/xml/current_obs/CWAV.xml
CWBO,AB,Brooks Automatic Weather Reporting System,50.55,-111.85,https://forecast.weather.gov/data/obhistory/CWBO.html,https://forecast.weather.gov/xml/current_obs/CWBO.rss,https://forecast.weather.gov/xml/current_obs/CWBO.xml
CWDK,AB,Claresholm Automatic Weather Reporting System,50.01667,-113.63333,https://forecast.weather.gov/data/obhistory/CWDK.html,https://forecast.weather.gov/xml/current_obs/CWDK.rss,https://forecast.weather.gov/xml/current_obs/CWDK.xml
CWDZ,AB,Drumheller East,51.44504,-112.67654,https://forecast.weather.gov/data/obhistory/CWDZ.html,https://forecast.weather.gov/xml/current_obs/CWDZ.rss,https://forecast.weather.gov/xml/current_obs/CWDZ.xml
CWFJ,AB,Cardston Automated Reporting Station,49.2,-113.28333,https://forecast.weather.gov/data/obhistory/CWFJ.html,https://forecast.weather.gov/xml/current_obs/CWFJ.rss,https://forecast.weather.gov/xml/current_obs/CWFJ.xml
CWGY,AB,Esther 1,51.66667,-110.2,https://forecast.weather.gov/data/obhistory/CWGY.html,https://forecast.weather.gov/xml/current_obs/CWGY.rss,https://forecast.weather.gov/xml/current_obs/CWGY.xml
CWLB,AB,Lac La Biche,54.76898,-112.02364,https://forecast.weather.gov/data/obhistory/CWLB.html,https://forecast.weather.gov/xml/current_obs/CWLB.rss,https://forecast.weather.gov/xml/current_obs/CWLB.xml
